iso_code,hdi
AFG,0.496
AGO,0.616
ALB,0.81
AND,0.913
ARE,0.94
ARG,0.865
ARM,0.811
ATG,0.851
AUS,0.958
AUT,0.93
AZE,0.789
BDI,0.439
BEL,0.951
BEN,0.515
BFA,0.459
BGD,0.685
BGR,0.845
BHR,0.899
BHS,0.82
BIH,0.804
BLR,0.824
BLZ,0.721
BOL,0.733
BRA,0.786
BRB,0.811
BRN,0.837
BTN,0.698
BWA,0.731
CAF,0.414
CAN,0.939
CHE,0.97
CHL,0.878
CHN,0.797
CIV,0.582
CMR,0.588
COD,0.522
COG,0.649
COL,0.788
COM,0.603
CPV,0.668
CRI,0.833
CUB,0.762
CYP,0.913
CZE,0.915
DEU,0.959
DJI,0.513
DMA,0.761
DNK,0.962
DOM,0.776
DZA,0.763
ECU,0.777
EGY,0.754
ERI,0.503
ESP,0.918
EST,0.905
ETH,0.497
FIN,0.948
FJI,0.731
FRA,0.92
FSM,0.615
GAB,0.733
GBR,0.946
GEO,0.844
GHA,0.628
GIN,0.5
GMB,0.524
GNB,0.514
GNQ,0.674
GRC,0.908
GRD,0.791
GTM,0.662
GUY,0.776
HKG,0.955
HND,0.645
HRV,0.889
HTI,0.554
HUN,0.87
IDN,0.728
IND,0.685
IRL,0.949
IRN,0.799
IRQ,0.695
ISL,0.972
ISR,0.919
ITA,0.915
JAM,0.72
JOR,0.754
JPN,0.925
KAZ,0.837
KEN,0.628
KGZ,0.72
KHM,0.606
KIR,0.644
KNA,0.84
KOR,0.937
KWT,0.852
LAO,0.617
LBN,0.752
LBR,0.51
LBY,0.721
LCA,0.748
LIE,0.938
LKA,0.776
LSO,0.55
LTU,0.895
LUX,0.922
LVA,0.889
MAR,0.71
MDA,0.785
MDG,0.487
MDV,0.766
MEX,0.789
MHL,0.733
MKD,0.815
MLI,0.419
MLT,0.924
MMR,0.609
MNE,0.862
MNG,0.747
MOZ,0.493
MRT,0.563
MUS,0.806
MWI,0.517
MYS,0.819
NAM,0.665
NER,0.419
NGA,0.56
NIC,0.706
NLD,0.955
NOR,0.97
NPL,0.622
NRU,0.703
NZL,0.938
OMN,0.858
PAK,0.544
PAN,0.839
PER,0.794
PHL,0.72
PLW,0.786
PNG,0.576
POL,0.906
PRT,0.89
PRY,0.756
PSE,0.674
QAT,0.886
ROU,0.845
RUS,0.832
RWA,0.578
SAU,0.9
SDN,0.511
SEN,0.53
SGP,0.946
SLB,0.584
SLE,0.467
SLV,0.678
SMR,0.915
SOM,0.404
SRB,0.833
SSD,0.388
STP,0.637
SUR,0.722
SVK,0.88
SVN,0.931
SWE,0.959
SWZ,0.695
SYC,0.848
SYR,0.564
TCD,0.416
TGO,0.571
THA,0.798
TJK,0.691
TKM,0.764
TLS,0.634
TON,0.769
TTO,0.807
TUN,0.746
TUR,0.853
TUV,0.689
TZA,0.555
UGA,0.582
UKR,0.779
URY,0.862
USA,0.938
UZB,0.74
VCT,0.798
VEN,0.709
VNM,0.766
VUT,0.621
WSM,0.708
YEM,0.47
ZAF,0.741
ZMB,0.595
ZWE,0.598
ZZA.VHHD,0.914
ZZB.HHD,0.777
ZZC.MHD,0.656
ZZD.LHD,0.515
ZZE.AS,0.719
ZZF.EAP,0.775
ZZG.ECA,0.818
ZZH.LAC,0.783
ZZI.SA,0.672
ZZJ.SSA,0.568
ZZK.WORLD,0.756
